"trial_id","criterion_type","ad_domain","clinical_concept","operator","value_lower","value_upper","units","diagnostic_framework","severity_stage","source_sentence","temporal_scope","evidence_type","certainty"
"NCT01767311","inclusion","other","MCI diagnosis","NA","NA","NA","NA","NIA-AA","MCI due to AD","Subjects who meet the National Institute of Aging - Alzheimer's Association (NIA-AA) core clinical criteria for mild cognitive impairment due to Alzheimer's disease - intermediate likelihood","NA","clinical_exam","must"
"NCT01767311","inclusion","global_impairment","CDR Memory Box score",">=","0.5","NA","score","NA","NA","Subjects who have a CDR score of 0.5 and a Memory Box score of 0.5 or greater at Screening and Baseline","at screening","clinical_exam","must"
"NCT01767311","inclusion","cognition","Subjective memory decline","history/presence of","NA","NA","NA","NA","NA","Subjects who report a history of subjective memory decline with gradual onset and slow progression over the last one year before Screening; MUST be corroborated by an informant","NA","questionnaire","must"
"NCT01767311","inclusion","demographics","Age","NA","NA","NA","NA","NA","NA","Subjects who report a history of subjective memory decline with gradual onset and slow progression over the last one year before Screening; MUST be corroborated by an informant","NA","questionnaire","must"
"NCT01767311","inclusion","other","AD dementia diagnosis","NA","NA","NA","NA","NIA-AA","probable AD dementia","Subjects who meet the NIA-AA core clinical criteria for probable Alzheimer's disease dementia","NA","clinical_exam","must"
"NCT01767311","inclusion","global_impairment","CDR Memory Box score",">=","0.5","NA","score","NA","NA","Subjects who have a CDR score of 0.5-1.0 and a Memory Box score of 0.5 or greater at Screening and Baseline","at screening","clinical_exam","must"
"NCT01767311","inclusion","cognition","Objective cognitive impairment","NA","NA","NA","NA","NA","NA","Subjects with objective impairment in episodic memory as indicated by at least 1 standard deviation below age-adjusted mean in the Wechsler Memory Scale - IV Logical Memory II (WMS-IV LMII):","NA","cognitive_test","must"
"NCT01767311","inclusion","demographics","Age","between","50","64","years","NA","NA","Less than or equal to 15 for age 50 to 64 years","NA","NA","must"
"NCT01767311","inclusion","demographics","Age","between","65","69","years","NA","NA","Less than or equal to 12 for age 65 to 69 years","NA","NA","must"
"NCT01767311","inclusion","demographics","Age","between","70","74","years","NA","NA","Less than or equal to 11 for age 70 to 74 years","NA","NA","must"
"NCT01767311","inclusion","demographics","Age","between","75","79","years","NA","NA","Less than or equal to 9 for age 75 to 79 years","NA","NA","must"
"NCT01767311","inclusion","demographics","Age","between","80","90","years","NA","NA","Less than or equal to 7 for age 80 to 90 years","NA","NA","must"
"NCT01767311","inclusion","imaging","Amyloid PET","positive","NA","NA","NA","NA","NA","Positive amyloid load as indicated by PET or CSF assessment","NA","PET","must"
"NCT01767311","inclusion","biomarkers","CSF biomarkers","NA","NA","NA","NA","NA","NA","Positive amyloid load as indicated by PET or CSF assessment","NA","CSF","must"
"NCT01767311","inclusion","imaging","PET imaging","NA","NA","NA","NA","NA","NA","PET assessment of imaging agent uptake into brain","NA","PET","must"
"NCT01767311","inclusion","biomarkers","CSF biomarkers","NA","NA","NA","NA","NA","NA","CSF assessment of Aβ(1-42)","NA","CSF","must"
"NCT01767311","inclusion","demographics","Age","between","50","90","years","NA","NA","Age between 50 and 90 years, inclusive","NA","NA","must"
"NCT01767311","inclusion","cognition","MMSE","NA","NA","NA","NA","NA","NA","Mini Mental State Examination (MMSE) score equal to or greater than 22, and equal to or less than 30, at Screening and Baseline","at screening","cognitive_test","must"
"NCT01767311","inclusion","demographics","Body mass index","NA","NA","NA","NA","NA","NA","Body Mass Index (BMI) greater than 17 and less than 35 at Screening or Baseline","at screening","clinical_exam","must"
"NCT01767311","inclusion","demographics","Sex/pregnancy","negative","NA","NA","NA","NA","NA","Females must not be lactating or pregnant at Screening or Baseline (as documented by a negative beta-human chorionic gonadotropin assay \[ß-hCG\]). A separate baseline assessment is required if a negative screening pregnancy test was obtained more than 72 hours before the first dose of study drug.","at screening","NA","must not"
"NCT01767311","inclusion","medications","Concomitant AD medications","NA","NA","NA","NA","NA","NA","Subjects on acetylcholinesterase inhibitor or memantine therapy or both for AD must be on a stable dose for at least 12 weeks prior to Baseline. Treatment naive subjects can be entered into the study. Unless otherwise stated, subjects must have been on stable doses of all other permitted concomitant medications (ie, non-AD related) for at least 4 weeks prior to Baseline.","prior to baseline","NA","must"
"NCT01767311","inclusion","medications","Concomitant AD medications","NA","NA","NA","NA","NA","NA","Subjects on acetylcholinesterase inhibitor or memantine therapy or both for AD must be on a stable dose for at least 12 weeks prior to Baseline. Treatment naive subjects can be entered into the study. Unless otherwise stated, subjects must have been on stable doses of all other permitted concomitant medications (ie, non-AD related) for at least 4 weeks prior to Baseline.","prior to baseline","NA","must"
"NCT01767311","inclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Subjects on acetylcholinesterase inhibitor or memantine therapy or both for AD must be on a stable dose for at least 12 weeks prior to Baseline. Treatment naive subjects can be entered into the study. Unless otherwise stated, subjects must have been on stable doses of all other permitted concomitant medications (ie, non-AD related) for at least 4 weeks prior to Baseline.","prior to baseline","lab_test","must"
"NCT01767311","inclusion","study_operations","Study partner","NA","NA","NA","NA","NA","NA","Subjects must have identified caregivers/informants","NA","NA","must"
"NCT01767311","inclusion","study_operations","Informed consent","consent to","NA","NA","NA","NA","NA","Subjects must provide written informed consent","NA","NA","must"
"NCT01767311","inclusion","other","NA","NA","NA","NA","NA","NA","NA","Subjects who have completed Visit 42 (Week 79) of the Core Study or who discontinued study drug during the Core Study due to any of the following reasons:","NA","NA","must"
"NCT01767311","inclusion","other","NA","NA","NA","NA","NA","NA","NA","Alzheimer's Related Imaging Abnormality-Edema (ARIA-E)","NA","NA","must"
"NCT01767311","inclusion","other","NA","NA","NA","NA","NA","NA","NA","Amyloid related imaging abnormality hemorrhage (ARIA-H) (superficial siderosis, macrohemorrhage, or symptomatic microhemorrhage)","NA","NA","must"
"NCT01767311","inclusion","other","NA","NA","NA","NA","NA","NA","NA","Prohibited or restricted medications that were prohibited during Core Study conduct but are no longer prohibited in the Extension Phase","NA","NA","must"
"NCT01767311","inclusion","other","NA","positive","NA","NA","NA","NA","NA","Subjects who were APOE4 positive and receiving treatment with lecanemab 10 mg/kg biweekly","NA","NA","must"
"NCT01767311","inclusion","other","NA","NA","NA","NA","NA","NA","NA","Any reason for discontinuation not related to prohibited medications, including any AE that was considered not related to study drug, and that was not severe or life-threatening","NA","NA","must"
"NCT01767311","inclusion","study_operations","Study partner","able/willing","NA","NA","NA","NA","NA","Must continue to have an identified caregiver or informant who is willing and able to provide follow-up information on the subject throughout the course of the Extension Phase","NA","NA","must"
"NCT01767311","inclusion","study_operations","Informed consent","consent to","NA","NA","NA","NA","NA","Provide written informed consent. If a subject lacks capacity to consent in the investigator's opinion, the subject's assent should be obtained, if required in accordance with local laws, regulations and customs, plus the written informed consent of a legal representative should be obtained (capacity to consent and definition of legal representative should be determined in accordance with applicable local laws and regulations).","NA","NA","should"
"NCT01767311","inclusion","other","NA","able/willing","NA","NA","NA","NA","NA","Must be able to physically attend clinic visits and be willing and able to comply with all aspects of the protocol","NA","NA","must"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Any neurological condition that may be contributing to cognitive impairment above and beyond that caused by the subject's AD","NA","NA","may"
"NCT01767311","exclusion","comorbidities","Stroke/TIA history","history/presence of","NA","NA","NA","NA","NA","History of transient ischemic attacks (TIA), stroke, or seizures within 12 months of Screening","NA","clinical_exam","must not"
"NCT01767311","exclusion","comorbidities","Seizure history","NA","NA","NA","NA","NA","NA","History of transient ischemic attacks (TIA), stroke, or seizures within 12 months of Screening","NA","clinical_exam","must not"
"NCT01767311","exclusion","comorbidities","Psychiatric disorder history","history/presence of","NA","NA","NA","NA","NA","Any psychiatric diagnosis or symptoms, (e.g., hallucinations, major depression, or delusions) that could interfere with study procedures in the subject","NA","clinical_exam","must not"
"NCT01767311","exclusion","comorbidities","Geriatric Depression Scale",">=","8","NA","score","NA","NA","Geriatric Depression Scale (GDS) score ≥8 at Screening","at screening","questionnaire","must not"
"NCT01767311","exclusion","imaging","Brain MRI","absent","NA","NA","NA","NA","NA","Contraindications to MRI scanning, including cardiac pacemaker/ defibrillator, ferromagnetic metal implants, e,g., in skull and cardiac devices other than those approved as safe for use in MR scanners","NA","MRI","must not"
"NCT01767311","exclusion","imaging","Brain MRI","history/presence of","NA","NA","NA","NA","NA","Evidence of other clinically significant lesions that could indicate a dementia diagnosis other than AD on brain MRI at Screening, or other significant pathological findings on brain MRI at Screening","at screening","MRI","must not"
"NCT01767311","exclusion","imaging","Brain MRI","NA","NA","NA","NA","NA","NA","Evidence of other clinically significant lesions that could indicate a dementia diagnosis other than AD on brain MRI at Screening, or other significant pathological findings on brain MRI at Screening","at screening","MRI","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","A prolonged QT/QTc interval (QTc greater than 450 ms) as demonstrated by a repeated electrocardiogram (ECG)","NA","NA","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Certain other specified medical conditions","NA","NA","must not"
"NCT01767311","exclusion","comorbidities","Psychiatric disorder history","NA","NA","NA","NA","NA","NA","Severe visual or hearing impairment that would prevent the subject from performing psychometric tests accurately","NA","clinical_exam","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Subjects who discontinued from the study drug or from the Core Study for reasons other than the following:","NA","NA","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","ARIA-E","NA","NA","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","ARIA-H (superficial siderosis, macrohemorrhage, or symptomatic microhemorrhage)","NA","NA","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Prohibited or restricted medications that were prohibited during Core Study conduct but are no longer prohibited in the Extension Phase","NA","NA","must not"
"NCT01767311","exclusion","other","NA","positive","NA","NA","NA","NA","NA","Subjects who were APOE4 positive and receiving treatment with lecanemab 10 mg/kg biweekly","NA","NA","must not"
"NCT01767311","exclusion","other","NA","NA","NA","NA","NA","NA","NA","AE that was considered not related to study drug, and that was not severe or life-threatening","NA","NA","must not"
"NCT01767311","exclusion","demographics","Sex/pregnancy","NA","NA","NA","NA","NA","NA","Females of childbearing potential who do not agree to use a highly effective method of contraception","NA","NA","must"
"NCT01767311","exclusion","comorbidities","Psychiatric disorder history","NA","NA","NA","NA","NA","NA","Severe visual or hearing impairment that would prevent the subject from performing psychometric tests accurately.","NA","clinical_exam","must not"
"NCT02008357","inclusion","cognition","MMSE","between","25","30","score","NA","NA","Has a Mini-Mental State Examination (MMSE) score at screening of 25 to 30","at screening","cognitive_test","must"
"NCT02008357","inclusion","global_impairment","CDR global score","=","0","NA","score","NA","NA","Has a global Clinical Dementia Rating (CDR) scale score at screening of 0","at screening","clinical_exam","must"
"NCT02008357","inclusion","cognition","Wechsler Memory Scale Logical Memory","between","6","18","score","NA","NA","Has a Logical Memory II score at screening of 6 to 18","at screening","cognitive_test","must"
"NCT02008357","inclusion","biomarkers","Amyloid pathology","positive","NA","NA","NA","NA","NA","Has a florbetapir positron emission tomography (PET) scan that shows evidence of brain amyloid pathology at screening","at screening","NA","must"
"NCT02008357","inclusion","study_operations","Study partner","able/willing","NA","NA","NA","NA","NA","Has a study partner that is willing to participate as a source of information and has at least weekly contact with the participant (contact can be in-person, via telephone or electronic communication)","NA","NA","must"
"NCT02008357","inclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Has a study partner that is willing to participate as a source of information and has at least weekly contact with the participant (contact can be in-person, via telephone or electronic communication)","NA","lab_test","must"
"NCT02008357","exclusion","medications","Concomitant AD medications","NA","NA","NA","NA","NA","NA","Is receiving a prescription acetylcholinesterase inhibitor (AChEI) and/or memantine at screening or baseline","at screening","NA","must not"
"NCT02008357","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Lacks good venous access, such that intravenous drug delivery or multiple blood draws would be precluded","NA","lab_test","must not"
"NCT02008357","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Has current serious or unstable illness including cardiovascular, hepatic, renal, gastroenterologic, respiratory, endocrinologic, neurologic, psychiatric, immunologic, or hematologic disease or other conditions that, in the investigator's opinion, could interfere with the analyses of safety and efficacy in this study","NA","lab_test","must not"
"NCT02008357","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Has current serious or unstable illness including cardiovascular, hepatic, renal, gastroenterologic, respiratory, endocrinologic, neurologic, psychiatric, immunologic, or hematologic disease or other conditions that, in the investigator's opinion, could interfere with the analyses of safety and efficacy in this study","NA","lab_test","must not"
"NCT02008357","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Has current serious or unstable illness including cardiovascular, hepatic, renal, gastroenterologic, respiratory, endocrinologic, neurologic, psychiatric, immunologic, or hematologic disease or other conditions that, in the investigator's opinion, could interfere with the analyses of safety and efficacy in this study","NA","lab_test","must not"
"NCT02008357","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Has current serious or unstable illness including cardiovascular, hepatic, renal, gastroenterologic, respiratory, endocrinologic, neurologic, psychiatric, immunologic, or hematologic disease or other conditions that, in the investigator's opinion, could interfere with the analyses of safety and efficacy in this study","NA","lab_test","must not"
"NCT02008357","exclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","Has current serious or unstable illness including cardiovascular, hepatic, renal, gastroenterologic, respiratory, endocrinologic, neurologic, psychiatric, immunologic, or hematologic disease or other conditions that, in the investigator's opinion, could interfere with the analyses of safety and efficacy in this study","NA","lab_test","must not"
"NCT02008357","exclusion","demographics","Age","history/presence of","NA","NA","NA","NA","NA","Has had a history within the last 5 years of a serious infectious disease affecting the brain (including neurosyphilis, meningitis, or encephalitis) or head trauma resulting in protracted loss of consciousness","NA","NA","must not"
"NCT02008357","exclusion","comorbidities","CNS infection history","NA","NA","NA","NA","NA","NA","Has had a history within the last 5 years of a serious infectious disease affecting the brain (including neurosyphilis, meningitis, or encephalitis) or head trauma resulting in protracted loss of consciousness","NA","clinical_exam","must not"
"NCT02008357","exclusion","demographics","Age","NA","NA","NA","NA","NA","NA","Has had a history within the last 5 years of a serious infectious disease affecting the brain (including neurosyphilis, meningitis, or encephalitis) or head trauma resulting in protracted loss of consciousness","NA","NA","must not"
"NCT02008357","exclusion","demographics","Age","history/presence of","NA","NA","NA","NA","NA","Has had a history within the last 5 years of a primary or recurrent malignant disease with the exception of any in situ cancer that was appropriately treated and is being appropriately monitored, such as resected cutaneous squamous cell carcinoma in situ or in situ prostate cancer with normal prostate-specific antigen post-treatment","NA","NA","must not"
"NCT02008357","exclusion","comorbidities","Malignancy","NA","NA","NA","NA","NA","NA","Has had a history within the last 5 years of a primary or recurrent malignant disease with the exception of any in situ cancer that was appropriately treated and is being appropriately monitored, such as resected cutaneous squamous cell carcinoma in situ or in situ prostate cancer with normal prostate-specific antigen post-treatment","NA","clinical_exam","must not"
"NCT02008357","exclusion","comorbidities","Malignancy","NA","NA","NA","NA","NA","NA","Has had a history within the last 5 years of a primary or recurrent malignant disease with the exception of any in situ cancer that was appropriately treated and is being appropriately monitored, such as resected cutaneous squamous cell carcinoma in situ or in situ prostate cancer with normal prostate-specific antigen post-treatment","NA","clinical_exam","must not"
"NCT02008357","exclusion","comorbidities","HIV infection","history/presence of","NA","NA","NA","NA","NA","Has a known history of human immunodeficiency virus (HIV), clinically significant multiple or severe drug allergies, or severe post-treatment hypersensitivity reactions (including, but not limited to, erythema multiforme major, linear immunoglobulin A dermatosis, toxic epidermal necrolysis, or exfoliative dermatitis)","NA","lab_test","must not"
"NCT02008357","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Is clinically judged by the investigator to be at serious risk for suicide","NA","NA","must not"
"NCT02008357","exclusion","demographics","Age","history/presence of","NA","NA","NA","DSM","NA","Has a history within the past 2 years of major depression or bipolar disorder as defined by the most current version of the Diagnostic and Statistical Manual of Mental Disorders (DSM)","within the past 2 years","NA","must not"
"NCT02008357","exclusion","comorbidities","Psychiatric disorder history","NA","NA","NA","NA","DSM","NA","Has a history within the past 2 years of major depression or bipolar disorder as defined by the most current version of the Diagnostic and Statistical Manual of Mental Disorders (DSM)","within the past 2 years","clinical_exam","must not"
"NCT02008357","exclusion","demographics","Age","NA","NA","NA","NA","DSM","NA","Has a history within the past 2 years of major depression or bipolar disorder as defined by the most current version of the Diagnostic and Statistical Manual of Mental Disorders (DSM)","within the past 2 years","NA","must not"
"NCT02008357","exclusion","demographics","Age","history/presence of","NA","NA","NA","DSM","NA","Has a history within the past 5 years of chronic alcohol or drug abuse/dependence as defined by the most current version of the DSM","within the past 5 years","NA","must not"
"NCT02008357","exclusion","lifestyle","Alcohol/substance use","NA","NA","NA","NA","DSM","NA","Has a history within the past 5 years of chronic alcohol or drug abuse/dependence as defined by the most current version of the DSM","within the past 5 years","questionnaire","must not"
"NCT02008357","exclusion","other","NA","NA","NA","NA","NA","NA","NA","All participants who complete the placebo-controlled period will be allowed to continue into the open-label period","NA","NA","must not"
"NCT02477800","inclusion","other","MCI diagnosis","NA","NA","NA","NA","NA","MCI due to AD","Must meet all of the following clinical criteria for MCI due to AD or mild AD and must have:","NA","clinical_exam","must"
"NCT02477800","inclusion","global_impairment","CDR global score","NA","NA","NA","NA","NA","NA","A Clinical Dementia Rating (CDR)-Global Score of 0.5.","NA","clinical_exam","must"
"NCT02477800","inclusion","cognition","Objective cognitive impairment","NA","NA","NA","NA","NA","NA","Objective evidence of cognitive impairment at screening","at screening","cognitive_test","must"
"NCT02477800","inclusion","cognition","MMSE","between","24","30","score","NA","NA","An MMSE score between 24 and 30 (inclusive)","NA","cognitive_test","must"
"NCT02477800","inclusion","imaging","Amyloid PET","positive","NA","NA","NA","NA","NA","Must have a positive amyloid Positron Emission Tomography (PET) scan","NA","PET","must"
"NCT02477800","inclusion","genetics","APOE genotype","consent to","NA","NA","NA","NA","NA","Must consent to apolipoprotein E (ApoE) genotyping","NA","genetic_test","must"
"NCT02477800","inclusion","safety_labs","Safety labs/organ function","NA","NA","NA","NA","NA","NA","If using drugs to treat symptoms related to AD, doses must be stable for at least 8 weeks prior to screening visit 1","prior to screening","lab_test","must"
"NCT02477800","inclusion","study_operations","Study partner","NA","NA","NA","NA","NA","NA","Must have a reliable informant or caregiver","NA","NA","must"
"NCT02477800","exclusion","other","NA","NA","NA","NA","NA","NA","NA","Any medical or neurological condition (other than Alzheimer's Disease) that might be a contributing cause of the subject's cognitive impairment","NA","NA","must not"
"NCT02477800","exclusion","comorbidities","Stroke/TIA history","NA","NA","NA","NA","NA","NA","Have had a stroke or Transient Ischemic Attack (TIA) or unexplained loss of consciousness in the past 1 year","NA","clinical_exam","must not"
"NCT02477800","exclusion","comorbidities","Stroke/TIA history","NA","NA","NA","NA","NA","NA","Have had a stroke or Transient Ischemic Attack (TIA) or unexplained loss of consciousness in the past 1 year","NA","clinical_exam","must not"
"NCT02477800","exclusion","demographics","Age","NA","NA","NA","NA","NA","NA","Have had a stroke or Transient Ischemic Attack (TIA) or unexplained loss of consciousness in the past 1 year","NA","NA","must not"
